iteration,td_error,theta_0,theta_1,theta_2,q0,q1,q2,value0
1,0.893169,0.628319,2.250657,2.839601,0.904508,0.262236,0.779508,1.289754
2,0.264725,0.635560,2.238519,2.839649,0.904508,0.245692,0.800117,2.073625
3,0.004705,0.635669,2.238289,2.839639,0.902370,0.250853,0.795593,2.085479
4,0.000678,0.635651,2.238320,2.839638,0.902337,0.250946,0.795506,2.083490
5,0.000017,0.635650,2.238321,2.839638,0.902343,0.250933,0.795518,2.083444
6,0.000002,0.635650,2.238320,2.839638,0.902343,0.250932,0.795518,2.083449
7,0.000000,0.635650,2.238320,2.839638,0.902343,0.250932,0.795518,2.083449
8,0.000000,0.635650,2.238320,2.839638,0.902343,0.250932,0.795518,2.083449
9,0.000000,0.635650,2.238320,2.839638,0.902343,0.250932,0.795518,2.083449
10,0.000000,0.635650,2.238320,2.839638,0.902343,0.250932,0.795518,2.083449
